filename,psnr,ssim
1709_0.95_0.08.jpg,23.797201,0.859731
1718_0.9_0.2.jpg,21.162786,0.879613
1971_1_0.08.jpg,25.209411,0.925903
320_10_0.93569.png,23.124308,0.916315
321_10_0.89661.png,15.286819,0.759942
323_10_0.70313.png,18.768978,0.828579
325_6_0.9889.png,17.329826,0.827321
327_6_0.79198.png,23.264613,0.907765
329_10_0.77243.png,23.250026,0.893837
